ID,Year of Birth,Age,Gender,Employment Duration,Industry,Occupation,Size of Employer Company,Size of Household,Residency Area,Time Spent Working Remotely Last Quarter of Last Year,Preferred Time Spent Working Remotely Last Quarter of Last Year,Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in Future,Employer's Policy change on Remote Work,1 day Hybrid last 6 months,Duration of Hybrid,Preferences towards Hybrid,Employer's Policy on Hybrid,Employer's Time Preference on Onsite,Attitude on Employer's Preferences,Liberty to make the Choice on Decision,Liberty to make the Choice on Days,Direct Manager's role,Attitude on Employer's Decision on Remote Work,Attitude on Employer's Encouragement,Attitude on Employer's Preparedness,Attitude of Other Employees ,Ease to get Permission on Remote Work,Ease to Collaborate with Colleagues,Effect of Promotion,Attitude on Taking Breaks,Impact on Employer,Most Supportive Person(s) on Remote Work,Expected Employer's Encouragement Post Covid,Expected Employer's Support Post Covid,Attitude on Choice on Remote Post Covid,Intended Time to Commute Onsite,Intended Time for Work Onsite,Intended Time for Chores Onsite,Intended Time for Personal Life Onsite,Intended Time for Sleep Onsite,Intended Time to Commute Remote,Intended Time for Work Remote,Intended Time for Chores Remote,Intended Time for Personal Life Remote,Intended Time for Sleep Remote,Attitude on pay cut,Agreed percentage on Pay cut,Barrier of Caring Responsibilities,Barrier of Connectivity,Barrier from Organizations Software System,Barrier on Collaboration,Barrier of poor management,Barrier of IT Equipment,Barrier of Feeling Isolated,Barrier of Extra Cost,Barrier of Cyber Security,Barrier of task cannot be done remotely,Barrier about working Space,Barrier on Motivation,Barrier on Management encouragement on Remote,Barrier of my living situation,Barrier of Remote Working Skills,Barrier of Health and Safety,Positivity on Remote Work,Activeness on Remote Work,Attitute towards Team Members,Management role of Participant,Remote Employees under Manager ,Manager's discretion towards Remote ,Opinion on Remote Employee Retention,Opinion on Remote Employee Recruitment,Opinion on Remote Team Work,Opinion on monitoring Remote Team,Opinion on Remote Poor Performers,Opinion on Preparation for Remote Employee Management,Opinion on Preparation for Focus on Work,Opinion on Finding Employees,Manager's Productivity on Remote,Employee's Productivity on Remote
362,1983,38,Male,More than 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,Between 20 and 199,Couple with dependent children,Metro,30%,50% - About half of my time,50% - I spent about half of my time remote working,50% - About half of my time,60%,Yes,Yes,60%,80%,Yes,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Senior leadership,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,4,4,4,4,8,4,4,4,4,8,Yes,0.5,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
364,1959,62,Male,More than 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,90%,60%,90%,60%,50% - About half of my time,Yes,Yes,90%,60%,Yes,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,My direct manger(s),Somewhat likely,Somewhat likely,Somewhat likely,2,9,1,6,6,0,10,2,4,8,No,,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Neither agree nor disagree,Somewhat agree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
365,1970,51,Female,Between 1 and 5 years,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Metro,20%,20%,10%,10%,20%,No,No,,,Yes,60%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat Positive,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat Positive,They are about the same,Very unlikely,Very likely,Somewhat unlikely,2.5,9.5,2.5,2,7.5,0.5,10,3,3,7.5,No,,Stayed about the same,Not a barrier for me,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Significantly improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Significantly improved,Somewhat improved,Neither agree nor disagree,Somewhat disagree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,I’m 20% less productive when working remotely,I’m 20% less productive when working remotely
367,1989,32,Male,Between 1 and 5 years,Education and Training,Managers - Specialist Managers,Between 5 and 19,Couple with dependent children,Metro,70%,70%,70%,70%,100% - All of my time,Yes,Yes,50% - About half of my time,30%,No,,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Positive,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat Positive,They are about the same,Somewhat likely,Somewhat likely,Neither unlikely or likely,3,10,1,4,6,0,10,2,6,6,No,,Not a barrier for me,Significantly improved,Somewhat improved,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Significantly improved,Somewhat worsened,Stayed about the same,Somewhat improved,Significantly worsened,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
369,1991,30,Female,More than 5 years,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with no dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,90%,80%,70%,Yes,No,,,Yes,70%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat likely,Somewhat likely,Somewhat likely,1,9,,5,9,2,8,1,3,10,No,,Somewhat improved,Significantly improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Strongly agree,Yes,Yes,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
373,1983,38,Female,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,One parent family with dependent children,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,50% - About half of my time,20%,No,Yes,50% - About half of my time,50% - About half of my time,Yes,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Somewhat likely,2,8,2,4,8,0,8,2,6,8,No,,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I’m 10% less productive when working remotely,I’m 10% less productive when working remotely
375,1962,59,Male,More than 5 years,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,Metro,100% - I spent all of my time remote working,I would not have preferred to work remotely,100% - I spent all of my time remote working,I would not have preferred to work remotely,I would prefer not to work remotely,No,Yes,20%,Less than 10% of my time,No,,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither positive nor negative,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat Negative,They are about the same,Very unlikely,Somewhat unlikely,Very unlikely,2,8,4,4,6,0,9,3,5,7,No,,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,I’m 10% less productive when working remotely,I’m 10% less productive when working remotely
376,1965,56,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 1 and 4,Couple with dependent children,Metro,20%,20%,20%,20%,20%,No,No,,,No,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither positive nor negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Somewhat unlikely,1,6,6,3,8,1,8,4,3,8,No,,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Significantly worsened,Significantly worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Significantly worsened,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
378,1985,36,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 5 and 19,Couple with dependent children,Metro,60%,70%,60%,70%,70%,Yes,Yes,60%,60%,Yes,60%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat Positive,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat Positive,Senior leadership,Somewhat likely,Somewhat unlikely,Neither unlikely or likely,3,9,2,2,8,3,10,1,2,8,No,,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Significantly worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 30% less productive when working remotely,I’m 30% less productive when working remotely
379,1985,36,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,90%,90%,100% - I spent all of my time remote working,100% - All of my time,60%,Yes,Yes,100% - All of my time,70%,No,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,My direct manger(s),Very likely,Very likely,Somewhat likely,3,7,2,4,8,1,7,3,5,8,Yes,0.05,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat worsened,Significantly worsened,Significantly improved,Stayed about the same,Somewhat improved,Significantly worsened,Somewhat improved,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Neither agree nor disagree,Somewhat agree,Strongly agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
380,1963,58,Male,More than 5 years,"Transport, Postal and Warehousing",Sales workers - Sales Representatives and Agents,More than 200,Single person,Metro,60%,40%,60%,40%,20%,Yes,Yes,60%,20%,Yes,50% - About half of my time,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat Positive,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat Negative,My direct manger(s),Somewhat unlikely,Neither unlikely or likely,Somewhat likely,3,6,3,4,8,1,7,4,4,8,No,,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat worsened,Significantly worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat worsened,Somewhat improved,Somewhat worsened,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
383,1971,50,Male,Between 1 and 5 years,Retail Trade,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,50% - I spent about half of my time remote working,60%,50% - I spent about half of my time remote working,60%,50% - About half of my time,No,Yes,50% - About half of my time,50% - About half of my time,Yes,50% - About half of my time,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither positive nor negative,My direct manger(s),Somewhat likely,Neither unlikely or likely,Neither unlikely or likely,1,11,2,2,8,0,12,2,2,8,Yes,0.02,Somewhat worsened,Significantly worsened,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
384,1970,51,Female,More than 5 years,"Rental, Hiring and Real Estate",Managers - Specialist Managers,Between 20 and 199,Group household,Metro,70%,70%,80%,70%,70%,Yes,Yes,40%,60%,Yes,80%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat Positive,Senior leadership,Neither unlikely or likely,Somewhat unlikely,Somewhat likely,5,9,1,1,8,0,10,3,2,9,No,,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat improved,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
385,1959,62,Male,Between 6 and 12 months,Information Media and Telecommunications,Technicians and trades workers - Electrotechnology and Telecommunications Trades Workers,More than 200,Couple with dependent children,Metro,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Yes,Yes,Less than 10% of my time,Less than 10% of my time,Yes,Less than 10% of my time,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Senior leadership,Very likely,Somewhat likely,Somewhat likely,4,4,4,6,6,3,5,3,6,7,Yes,0.05,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Strongly agree,Somewhat agree,Strongly agree,Yes,Yes,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
388,1959,62,Male,More than 5 years,Construction,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Metro,50% - I spent about half of my time remote working,50% - About half of my time,20%,10%,Less than 10% of my time,Yes,Yes,10%,Less than 10% of my time,Yes,10%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Positive,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat Negative,They are about the same,Very unlikely,Neither unlikely or likely,Very unlikely,2,9,2,3,8,1,10,2,3,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Strongly disagree,Somewhat disagree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
391,1971,50,Male,Between 1 and 5 years,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Metro,70%,100% - All of my time,40%,100% - All of my time,70%,Yes,Yes,40%,80%,Yes,50% - About half of my time,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat Positive,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat Negative,My direct manger(s),Very unlikely,Somewhat unlikely,Somewhat unlikely,2,7,4,4,7,0,6,8,3,7,No,,Somewhat improved,Stayed about the same,Stayed about the same,Significantly worsened,Somewhat worsened,Somewhat worsened,Not a barrier for me,Somewhat worsened,Significantly worsened,Somewhat worsened,Somewhat improved,Stayed about the same,Significantly worsened,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat agree,Strongly agree,Neither agree nor disagree,Yes,Yes,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,I’m 30% less productive when working remotely,I’m 30% less productive when working remotely
393,1965,56,Male,Between 1 and 5 years,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Metro,100% - I spent all of my time remote working,Less than 10% of my time,90%,Less than 10% of my time,Less than 10% of my time,Yes,Yes,Less than 10% of my time,Less than 10% of my time,Yes,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat Negative,They are about the same,Neither unlikely or likely,Somewhat unlikely,Neither unlikely or likely,1,7,3,6,7,0,7,3,7,7,No,,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Significantly worsened,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
394,1973,48,Male,More than 5 years,Public Administration and Safety,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,30%,30%,40%,40%,60%,No,Yes,40%,20%,Unsure,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Senior leadership,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,2,8,2,4,8,2,8,2,4,8,No,,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
395,1974,47,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,60%,50% - About half of my time,50% - I spent about half of my time remote working,30%,40%,No,Yes,50% - About half of my time,50% - About half of my time,No,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,Senior leadership,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,3,8,2,3,8,0,8,3,5,8,Yes,0.1,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
397,1982,39,Female,Between 1 and 5 years,Manufacturing,Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,50% - I spent about half of my time remote working,40%,30%,30%,30%,Yes,No,,,Yes,40%,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat Positive,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Positive,They are about the same,Somewhat unlikely,Somewhat likely,Neither unlikely or likely,1,8,5,4,6,0,10,5,3,6,No,,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Significantly worsened,Significantly worsened,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat agree,Somewhat disagree,Somewhat agree,Yes,Yes,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
400,1985,36,Male,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,One parent family with dependent children,Metro,20%,30%,Less than 10% of my time,30%,20%,No,No,,,Yes,60%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat Positive,Senior leadership,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,0,10,4,4,6,2,10,3,4,5,No,,Stayed about the same,Somewhat improved,Somewhat improved,Significantly worsened,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Significantly worsened,Stayed about the same,Significantly worsened,Somewhat worsened,Significantly worsened,Stayed about the same,Significantly worsened,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
401,1975,46,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,Between 5 and 19,Couple with no dependent children,Metro,50% - I spent about half of my time remote working,40%,50% - I spent about half of my time remote working,30%,40%,No,Yes,40%,50% - About half of my time,Unsure,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Positive,Senior leadership,Very likely,Very likely,Very likely,2,8,4,4,6,2,8,2,4,8,No,,Significantly improved,Somewhat improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Stayed about the same,Significantly improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Significantly improved,Stayed about the same,Somewhat improved,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
